"model","3d","display_format","diagonal_size","review_date"
"LG 60PA6500","","1080p (FullHD)","60 in","Sep. 26, 2012"
"LG 50PA6500 - 50' Class ( 49.9' viewable ) plasma TV","","1080p (FullHD)","50 in","Sep. 26, 2012"
"LG 50PA4500","","720p","50 in","Sep. 25, 2012"
"Samsung PN43E450","","720p","43 in","Sep. 17, 2012"
"Samsung PN51E450 - 51' Class ( 50.73' viewable ) plasma TV","","720p","51 in","Sep. 17, 2012"
"LG 55LM7600","Passive Cinema 3D with Dual Play","1080p","55 in","Sep. 14, 2012"
"LG 47LM7600","Passive Cinema 3D with Dual Play","1080p","47 in","Sep. 14, 2012"
"Sony KDL-40EX640","","1080p","40 in","Sep. 4, 2012"
"Sony KDL-46EX640","","1080p (FullHD)","46 in","Sep. 4, 2012"
"Sony KDL-55EX640","","1080p","55 in","Sep. 4, 2012"
"Samsung PN51E550","Yes","1080p (FullHD)","51 in","Aug. 30, 2012"
"Panasonic TC-P50U50","","1080p (FullHD)","50 in","Aug. 24, 2012"
"Panasonic TC-P50U50","","1080p (FullHD)","50 in","Aug. 24, 2012"
"Samsung UN40ES6500","Active 3D","1080p","40 in","Aug. 20, 2012"
"Samsung PN64E550","Yes","1080p (FullHD)","64 in","Aug. 30, 2012"
"Samsung UN50ES6500","Active 3D","1080p","50 in","Aug. 20, 2012"
"Samsung UN46ES6500","Active 3D","1080p","46 in","Aug. 20, 2012"
"Samsung UN32ES6500","Active 3D","1080p (FullHD)","32 in","Aug. 20, 2012"
"Samsung UN55ES6500","Active 3D","1080p","55 in","Aug. 20, 2012"
"Samsung UN65ES6500","Active 3D","1080p","65 in","Aug. 20, 2012"
"Samsung UN60ES6500","Active 3D","1080p","60 in","Aug. 20, 2012"
"Sony KDL-32BX330","","720p","31.5 in","Aug. 8, 2012"
"Toshiba 47L7200U - 47' Class ( 46.96' viewable ) 3D LED TV","Yes","1080p (FullHD)","47 in","Aug. 3, 2012"
"Toshiba 55L7200U - 55' Class ( 54.64' viewable ) 3D LED TV","Yes","1080p (FullHD)","55 in","Aug. 3, 2012"
